group,name,units,upperLimit,lowerLimit,relaxedUpperLimit,relaxedLowerLimit
MP,LED_OFF_ST_Lisa_Get_Raw_Data_Ch(0x01),mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x01),mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x01)_MIN,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x01)_MAX,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x01)_VPP,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x01)_STD,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Raw_Data_Ch(0x02),mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x02),mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x02)_MIN,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x02)_MAX,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x02)_VPP,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x02)_STD,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Raw_Data_Ch(0x03),mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x03),mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x03)_MIN,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x03)_MAX,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x03)_VPP,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x03)_STD,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Raw_Data_Ch(0x04),mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x04),mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x04)_MIN,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x04)_MAX,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x04)_VPP,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x04)_STD,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Raw_Data_Ch(0x05),mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x05),mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x05)_MIN,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x05)_MAX,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x05)_VPP,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x05)_STD,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Raw_Data_Ch(0x06),mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x06),mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x06)_MIN,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x06)_MAX,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x06)_VPP,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x06)_STD,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Raw_Data_Ch(0x07),mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x07),mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x07)_MIN,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x07)_MAX,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x07)_VPP,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x07)_STD,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Raw_Data_Ch(0x08),mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x08),mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x08)_MIN,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x08)_MAX,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x08)_VPP,mV,2000,1500,,
MP,LED_OFF_ST_Lisa_Get_Stats_Data(0x08)_STD,mV,2000,1500,,
MP,LED_ON_ST_Get_Raw_Data_Ch(0x01),mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x01),mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x01)_MIN,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x01)_MAX,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x01)_VPP,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x01)_STD,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Raw_Data_Ch(0x02),mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x02),mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x02)_MIN,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x02)_MAX,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x02)_VPP,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x02)_STD,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Raw_Data_Ch(0x03),mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x03),mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x03)_MIN,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x03)_MAX,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x03)_VPP,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x03)_STD,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Raw_Data_Ch(0x04),mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x04),mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x04)_MIN,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x04)_MAX,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x04)_VPP,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x04)_STD,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Raw_Data_Ch(0x05),mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x05),mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x05)_MIN,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x05)_MAX,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x05)_VPP,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x05)_STD,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Raw_Data_Ch(0x06),mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x06),mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x06)_MIN,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x06)_MAX,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x06)_VPP,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x06)_STD,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Raw_Data_Ch(0x07),mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x07),mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x07)_MIN,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x07)_MAX,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x07)_VPP,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x07)_STD,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Raw_Data_Ch(0x08),mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x08),mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x08)_MIN,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x08)_MAX,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x08)_VPP,mV,2000,1500,,
MP,LED_ON_ST_Lisa_Get_Stats_Data(0x08)_STD,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_Raw_Data_Ch(0x01),mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x01),mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x01)_MIN,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x01)_MAX,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x01)_VPP,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x01)_STD,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_Raw_Data_Ch(0x02),mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x02),mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x02)_MIN,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x02)_MAX,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x02)_VPP,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x02)_STD,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_Raw_Data_Ch(0x03),mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x03),mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x03)_MIN,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x03)_MAX,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x03)_VPP,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x03)_STD,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_Raw_Data_Ch(0x04),mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x04),mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x04)_MIN,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x04)_MAX,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x04)_VPP,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x04)_STD,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_Raw_Data_Ch(0x05),mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x05),mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x05)_MIN,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x05)_MAX,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x05)_VPP,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x05)_STD,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_Raw_Data_Ch(0x06),mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x06),mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x06)_MIN,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x06)_MAX,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x06)_VPP,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x06)_STD,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_Raw_Data_Ch(0x07),mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x07),mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x07)_MIN,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x07)_MAX,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x07)_VPP,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x07)_STD,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_Raw_Data_Ch(0x08),mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x08),mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x08)_MIN,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x08)_MAX,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x08)_VPP,mV,2000,1500,,
MP,LED_OFF_DY_Lisa_Get_stats_Data(0x08)_STD,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_Raw_Data_Ch(0x01),mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x01),mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x01)_MIN,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x01)_MAX,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x01)_VPP,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x01)_STD,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_Raw_Data_Ch(0x02),mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x02),mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x02)_MIN,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x02)_MAX,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x02)_VPP,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x02)_STD,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_Raw_Data_Ch(0x03),mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x03),mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x03)_MIN,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x03)_MAX,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x03)_VPP,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x03)_STD,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_Raw_Data_Ch(0x04),mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x04),mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x04)_MIN,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x04)_MAX,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x04)_VPP,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x04)_STD,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_Raw_Data_Ch(0x05),mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x05),mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x05)_MIN,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x05)_MAX,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x05)_VPP,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x05)_STD,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_Raw_Data_Ch(0x06),mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x06),mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x06)_MIN,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x06)_MAX,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x06)_VPP,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x06)_STD,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_Raw_Data_Ch(0x07),mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x07),mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x07)_MIN,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x07)_MAX,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x07)_VPP,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x07)_STD,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_Raw_Data_Ch(0x08),mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x08),mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x08)_MIN,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x08)_MAX,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x08)_VPP,mV,2000,1500,,
MP,LED_ON_DY_Lisa_Get_stats_Data(0x08)_STD,mV,2000,1500,,
MP,BTN_Measure_1,mV,50,0,,
MP,BTN_Measure_2,mV,50,0,,
MP,BTN_Measure_3,mV,50,0,,
MP,Pressvalue,N,500,50,,
MP,DY_Lisa_Get_Led_Current,mA,50,0,,
MP,ST_Lisa_Get_Led_Current,mA,50,0,,